k,insPar,filter,mem_size,time
1,1,1000000,5,1.0
1,2,1000000,5,1.0
1,3,1000000,5,1.0
1,4,1000000,5,1.0
1,5,1000000,5,1.0
1,6,1000000,5,1.0
1,7,1000000,5,1.0
1,8,1000000,5,1.0
1,9,1000000,5,1.0
1,10,1000000,5,1.0
1,1,1000000,10,1.0
1,2,1000000,10,1.0
1,3,1000000,10,1.0
1,4,1000000,10,1.0
1,5,1000000,10,1.0
1,6,1000000,10,1.0
1,7,1000000,10,1.0
1,8,1000000,10,1.0
1,9,1000000,10,1.0
1,10,1000000,10,1.0
1,1,1000000,15,1.0
1,2,1000000,15,1.0
1,3,1000000,15,1.0
1,4,1000000,15,1.0
1,5,1000000,15,1.0
1,6,1000000,15,1.0
1,7,1000000,15,1.0
1,8,1000000,15,1.0
1,9,1000000,15,1.0
1,10,1000000,15,1.0
1,1,1000000,20,1.0
1,2,1000000,20,1.0
1,3,1000000,20,1.0
1,4,1000000,20,1.0
1,5,1000000,20,1.0
1,6,1000000,20,1.0
1,7,1000000,20,1.0
1,8,1000000,20,1.0
1,9,1000000,20,1.0
1,10,1000000,20,1.0
3,1,1000000,5,1.0
3,2,1000000,5,1.0
3,3,1000000,5,1.0
3,4,1000000,5,1.0
3,5,1000000,5,1.0
3,6,1000000,5,1.0
3,7,1000000,5,1.0
3,8,1000000,5,1.0
3,9,1000000,5,1.0
3,10,1000000,5,1.0
3,1,1000000,10,1.0
3,2,1000000,10,1.0
3,3,1000000,10,1.0
3,4,1000000,10,1.0
3,5,1000000,10,1.0
3,6,1000000,10,1.0
3,7,1000000,10,1.0
3,8,1000000,10,1.0
3,9,1000000,10,1.0
3,10,1000000,10,1.0
3,1,1000000,15,1.0
3,2,1000000,15,1.0
3,3,1000000,15,1.0
3,4,1000000,15,1.0
3,5,1000000,15,1.0
3,6,1000000,15,1.0
3,7,1000000,15,1.0
3,8,1000000,15,1.0
3,9,1000000,15,1.0
3,10,1000000,15,1.0
3,1,1000000,20,1.0
3,2,1000000,20,1.0
3,3,1000000,20,1.0
3,4,1000000,20,1.0
3,5,1000000,20,1.0
3,6,1000000,20,1.0
3,7,1000000,20,1.0
3,8,1000000,20,1.0
3,9,1000000,20,1.0
3,10,1000000,20,1.0
5,1,1000000,5,1.0
5,2,1000000,5,1.0
5,3,1000000,5,1.0
5,4,1000000,5,1.0
5,5,1000000,5,1.0
5,6,1000000,5,1.0
5,7,1000000,5,1.0
