k,insPar,filter,mem_size
5,1,10000,5
5,1,50000,5
5,1,100000,5
5,1,500000,5
5,1,1000000,5
5,2,10000,5
5,2,50000,5
5,2,100000,5
5,2,500000,5
5,2,1000000,5
5,3,10000,5
5,3,50000,5
5,3,100000,5
5,3,500000,5
5,3,1000000,5
5,4,10000,5
5,4,50000,5
5,4,100000,5
5,4,500000,5
5,4,1000000,5
5,5,10000,5
5,5,50000,5
5,5,100000,5
5,5,500000,5
5,5,1000000,5
5,6,10000,5
5,6,50000,5
5,6,100000,5
5,6,500000,5
5,6,1000000,5
5,7,10000,5
5,7,50000,5
5,7,100000,5
5,7,500000,5
5,7,1000000,5
5,8,10000,5
5,8,50000,5
5,8,100000,5
5,8,500000,5
5,8,1000000,5
5,9,10000,5
5,9,50000,5
5,9,100000,5
5,9,500000,5
5,9,1000000,5
5,10,10000,5
5,10,50000,5
5,10,100000,5
5,10,500000,5
5,10,1000000,5
5,1,10000,10
5,1,50000,10
5,1,100000,10
5,1,500000,10
5,1,1000000,10
5,2,10000,10
5,2,50000,10
5,2,100000,10
5,2,500000,10
5,2,1000000,10
5,3,10000,10
5,3,50000,10
5,3,100000,10
5,3,500000,10
5,3,1000000,10
5,4,10000,10
5,4,50000,10
5,4,100000,10
5,4,500000,10
5,4,1000000,10
5,5,10000,10
5,5,50000,10
5,5,100000,10
5,5,500000,10
5,5,1000000,10
5,6,10000,10
5,6,50000,10
5,6,100000,10
5,6,500000,10
5,6,1000000,10
5,7,10000,10
5,7,50000,10
5,7,100000,10
5,7,500000,10
5,7,1000000,10
5,8,10000,10
5,8,50000,10
5,8,100000,10
5,8,500000,10
5,8,1000000,10
5,9,10000,10
5,9,50000,10
5,9,100000,10
5,9,500000,10
5,9,1000000,10
5,10,10000,10
5,10,50000,10
5,10,100000,10
5,10,500000,10
5,10,1000000,10
5,1,10000,15
5,1,50000,15
5,1,100000,15
5,1,500000,15
5,1,1000000,15
5,2,10000,15
5,2,50000,15
5,2,100000,15
5,2,500000,15
5,2,1000000,15
5,3,10000,15
5,3,50000,15
5,3,100000,15
5,3,500000,15
5,3,1000000,15
5,4,10000,15
5,4,50000,15
5,4,100000,15
5,4,500000,15
5,4,1000000,15
5,5,10000,15
5,5,50000,15
5,5,100000,15
5,5,500000,15
5,5,1000000,15
5,6,10000,15
5,6,50000,15
5,6,100000,15
5,6,500000,15
5,6,1000000,15
5,7,10000,15
5,7,50000,15
5,7,100000,15
5,7,500000,15
5,7,1000000,15
5,8,10000,15
5,8,50000,15
5,8,100000,15
5,8,500000,15
5,8,1000000,15
5,9,10000,15
5,9,50000,15
5,9,100000,15
5,9,500000,15
5,9,1000000,15
5,10,10000,15
5,10,50000,15
5,10,100000,15
5,10,500000,15
5,10,1000000,15
5,1,10000,20
5,1,50000,20
5,1,100000,20
5,1,500000,20
5,1,1000000,20
5,2,10000,20
5,2,50000,20
5,2,100000,20
5,2,500000,20
5,2,1000000,20
5,3,10000,20
5,3,50000,20
5,3,100000,20
5,3,500000,20
5,3,1000000,20
5,4,10000,20
5,4,50000,20
5,4,100000,20
5,4,500000,20
5,4,1000000,20
5,5,10000,20
5,5,50000,20
5,5,100000,20
5,5,500000,20
5,5,1000000,20
5,6,10000,20
5,6,50000,20
5,6,100000,20
5,6,500000,20
5,6,1000000,20
5,7,10000,20
5,7,50000,20
5,7,100000,20
5,7,500000,20
5,7,1000000,20
5,8,10000,20
5,8,50000,20
5,8,100000,20
5,8,500000,20
5,8,1000000,20
5,9,10000,20
5,9,50000,20
5,9,100000,20
5,9,500000,20
5,9,1000000,20
5,10,10000,20
5,10,50000,20
5,10,100000,20
5,10,500000,20
5,10,1000000,20
10,1,10000,10
10,1,50000,10
10,1,100000,10
10,1,500000,10
10,1,1000000,10
10,2,10000,10
10,2,50000,10
10,2,100000,10
10,2,500000,10
10,2,1000000,10
10,3,10000,10
10,3,50000,10
10,3,100000,10
10,3,500000,10
10,3,1000000,10
10,4,10000,10
10,4,50000,10
10,4,100000,10
10,4,500000,10
10,4,1000000,10
10,5,10000,10
10,5,50000,10
10,5,100000,10
10,5,500000,10
10,5,1000000,10
10,6,10000,10
10,6,50000,10
10,6,100000,10
10,6,500000,10
10,6,1000000,10
10,7,10000,10
10,7,50000,10
10,7,100000,10
10,7,500000,10
10,7,1000000,10
10,8,10000,10
10,8,50000,10
10,8,100000,10
10,8,500000,10
10,8,1000000,10
10,9,10000,10
10,9,50000,10
10,9,100000,10
10,9,500000,10
10,9,1000000,10
10,10,10000,10
10,10,50000,10
10,10,100000,10
10,10,500000,10
10,10,1000000,10
10,1,10000,15
10,1,50000,15
10,1,100000,15
10,1,500000,15
10,1,1000000,15
10,2,10000,15
10,2,50000,15
10,2,100000,15
10,2,500000,15
10,2,1000000,15
10,3,10000,15
10,3,50000,15
10,3,100000,15
10,3,500000,15
10,3,1000000,15
10,4,10000,15
10,4,50000,15
10,4,100000,15
10,4,500000,15
10,4,1000000,15
10,5,10000,15
10,5,50000,15
10,5,100000,15
10,5,500000,15
10,5,1000000,15
10,6,10000,15
10,6,50000,15
10,6,100000,15
10,6,500000,15
10,6,1000000,15
10,7,10000,15
10,7,50000,15
10,7,100000,15
10,7,500000,15
10,7,1000000,15
10,8,10000,15
10,8,50000,15
10,8,100000,15
10,8,500000,15
10,8,1000000,15
10,9,10000,15
10,9,50000,15
10,9,100000,15
10,9,500000,15
10,9,1000000,15
10,10,10000,15
10,10,50000,15
10,10,100000,15
10,10,500000,15
10,10,1000000,15
10,1,10000,20
10,1,50000,20
10,1,100000,20
10,1,500000,20
10,1,1000000,20
10,2,10000,20
10,2,50000,20
10,2,100000,20
10,2,500000,20
10,2,1000000,20
10,3,10000,20
10,3,50000,20
10,3,100000,20
10,3,500000,20
10,3,1000000,20
10,4,10000,20
10,4,50000,20
10,4,100000,20
10,4,500000,20
10,4,1000000,20
10,5,10000,20
10,5,50000,20
10,5,100000,20
10,5,500000,20
10,5,1000000,20
10,6,10000,20
10,6,50000,20
10,6,100000,20
10,6,500000,20
10,6,1000000,20
10,7,10000,20
10,7,50000,20
10,7,100000,20
10,7,500000,20
10,7,1000000,20
10,8,10000,20
10,8,50000,20
10,8,100000,20
10,8,500000,20
10,8,1000000,20
10,9,10000,20
10,9,50000,20
10,9,100000,20
10,9,500000,20
10,9,1000000,20
10,10,10000,20
10,10,50000,20
10,10,100000,20
10,10,500000,20
10,10,1000000,20
15,1,10000,15
15,1,50000,15
15,1,100000,15
15,1,500000,15
15,1,1000000,15
15,2,10000,15
15,2,50000,15
15,2,100000,15
15,2,500000,15
15,2,1000000,15
15,3,10000,15
15,3,50000,15
15,3,100000,15
15,3,500000,15
15,3,1000000,15
15,4,10000,15
15,4,50000,15
15,4,100000,15
15,4,500000,15
15,4,1000000,15
15,5,10000,15
15,5,50000,15
15,5,100000,15
15,5,500000,15
15,5,1000000,15
15,6,10000,15
15,6,50000,15
15,6,100000,15
15,6,500000,15
15,6,1000000,15
15,7,10000,15
15,7,50000,15
15,7,100000,15
15,7,500000,15
15,7,1000000,15
15,8,10000,15
15,8,50000,15
15,8,100000,15
15,8,500000,15
15,8,1000000,15
15,9,10000,15
15,9,50000,15
15,9,100000,15
15,9,500000,15
15,9,1000000,15
15,10,10000,15
15,10,50000,15
15,10,100000,15
15,10,500000,15
15,10,1000000,15
15,1,10000,20
15,1,50000,20
15,1,100000,20
15,1,500000,20
15,1,1000000,20
15,2,10000,20
15,2,50000,20
15,2,100000,20
15,2,500000,20
15,2,1000000,20
15,3,10000,20
15,3,50000,20
15,3,100000,20
15,3,500000,20
15,3,1000000,20
15,4,10000,20
15,4,50000,20
15,4,100000,20
15,4,500000,20
15,4,1000000,20
15,5,10000,20
15,5,50000,20
15,5,100000,20
15,5,500000,20
15,5,1000000,20
15,6,10000,20
