k,insPar,filter,mem_size,time,steps
5,1,10000,5,1.102000,3711
5,1,50000,5,1.031000,3711
5,1,100000,5,1.065000,3711
5,1,500000,5,0.998000,3711
5,1,1000000,5,1.055000,3711
5,2,10000,5,1.089000,3711
5,2,50000,5,1.009000,3711
5,2,100000,5,1.169000,3711
5,2,500000,5,1.276000,3711
5,2,1000000,5,1.063000,3711
5,3,10000,5,1.096000,3711
5,3,50000,5,1.335000,3711
5,3,100000,5,1.151000,3711
5,3,500000,5,1.102000,3711
5,3,1000000,5,1.131000,3711
5,4,10000,5,1.072000,3711
5,4,50000,5,1.114000,3711
5,4,100000,5,1.045000,3711
5,4,500000,5,1.003000,3711
5,4,1000000,5,1.067000,3711
5,5,10000,5,1.067000,3711
5,5,50000,5,1.135000,3711
5,5,100000,5,1.113000,3711
5,5,500000,5,1.096000,3711
5,5,1000000,5,1.095000,3711
5,6,10000,5,1.226000,3711
5,6,50000,5,1.118000,3711
5,6,100000,5,1.097000,3711
5,6,500000,5,1.255000,3711
5,6,1000000,5,1.140000,3711
5,7,10000,5,1.090000,3711
5,7,50000,5,1.263000,3711
5,7,100000,5,1.227000,3711
5,7,500000,5,1.276000,3711
5,7,1000000,5,1.085000,3711
5,8,10000,5,1.086000,3711
5,8,50000,5,1.212000,3711
5,8,100000,5,1.116000,3711
5,8,500000,5,1.023000,3711
5,8,1000000,5,1.121000,3711
5,9,10000,5,1.049000,3711
5,9,50000,5,1.043000,3711
5,9,100000,5,1.220000,3711
5,9,500000,5,1.402000,3711
5,9,1000000,5,1.237000,3711
5,10,10000,5,1.296000,3711
5,10,50000,5,1.057000,3711
5,10,100000,5,1.443000,3711
5,10,500000,5,1.322000,3711
5,10,1000000,5,1.206000,3711
5,1,10000,10,1.155000,3711
5,1,50000,10,1.020000,3711
5,1,100000,10,1.017000,3711
5,1,500000,10,2.512000,3711
5,1,1000000,10,1.074000,3711
5,2,10000,10,1.025000,3711
5,2,50000,10,1.247000,3711
5,2,100000,10,1.217000,3711
5,2,500000,10,1.165000,3711
5,2,1000000,10,1.128000,3711
5,3,10000,10,1.109000,3711
5,3,50000,10,1.404000,3711
5,3,100000,10,1.103000,3711
5,3,500000,10,1.057000,3711
5,3,1000000,10,1.109000,3711
5,4,10000,10,1.133000,3711
5,4,50000,10,1.067000,3711
5,4,100000,10,1.085000,3711
5,4,500000,10,1.035000,3711
5,4,1000000,10,1.009000,3711
5,5,10000,10,1.063000,3711
5,5,50000,10,1.101000,3711
5,5,100000,10,1.076000,3711
5,5,500000,10,1.723000,3711
5,5,1000000,10,1.024000,3711
5,6,10000,10,1.115000,3711
5,6,50000,10,1.000000,3711
5,6,100000,10,0.998000,3711
5,6,500000,10,1.037000,3711
5,6,1000000,10,1.028000,3711
5,7,10000,10,1.364000,3711
5,7,50000,10,1.023000,3711
5,7,100000,10,1.284000,3711
5,7,500000,10,1.467000,3711
5,7,1000000,10,1.080000,3711
5,8,10000,10,1.175000,3711
5,8,50000,10,1.055000,3711
5,8,100000,10,0.991000,3711
5,8,500000,10,1.000000,3711
5,8,1000000,10,1.029000,3711
5,9,10000,10,0.994000,3711
5,9,50000,10,1.105000,3711
5,9,100000,10,0.986000,3711
5,9,500000,10,1.127000,3711
5,9,1000000,10,1.359000,3711
5,10,10000,10,1.051000,3711
5,10,50000,10,1.112000,3711
5,10,100000,10,1.055000,3711
5,10,500000,10,0.988000,3711
5,10,1000000,10,1.026000,3711
5,1,10000,15,1.028000,3711
5,1,50000,15,1.110000,3711
5,1,100000,15,1.036000,3711
5,1,500000,15,1.125000,3711
5,1,1000000,15,1.185000,3711
5,2,10000,15,1.070000,3711
5,2,50000,15,0.987000,3711
5,2,100000,15,1.089000,3711
5,2,500000,15,1.218000,3711
5,2,1000000,15,1.056000,3711
5,3,10000,15,1.084000,3711
5,3,50000,15,1.000000,3711
5,3,100000,15,1.158000,3711
5,3,500000,15,1.042000,3711
5,3,1000000,15,1.047000,3711
5,4,10000,15,1.123000,3711
5,4,50000,15,1.021000,3711
5,4,100000,15,1.080000,3711
5,4,500000,15,1.037000,3711
5,4,1000000,15,1.172000,3711
5,5,10000,15,1.107000,3711
5,5,50000,15,1.060000,3711
5,5,100000,15,1.030000,3711
5,5,500000,15,1.065000,3711
5,5,1000000,15,1.043000,3711
5,6,10000,15,1.141000,3711
5,6,50000,15,1.029000,3711
5,6,100000,15,1.063000,3711
5,6,500000,15,0.987000,3711
5,6,1000000,15,1.040000,3711
5,7,10000,15,1.041000,3711
5,7,50000,15,1.090000,3711
5,7,100000,15,1.098000,3711
5,7,500000,15,1.172000,3711
5,7,1000000,15,1.030000,3711
5,8,10000,15,1.005000,3711
5,8,50000,15,1.009000,3711
5,8,100000,15,0.998000,3711
5,8,500000,15,1.013000,3711
5,8,1000000,15,1.028000,3711
5,9,10000,15,1.314000,3711
5,9,50000,15,1.053000,3711
5,9,100000,15,0.992000,3711
5,9,500000,15,1.016000,3711
5,9,1000000,15,1.059000,3711
5,10,10000,15,1.013000,3711
5,10,50000,15,1.009000,3711
5,10,100000,15,1.208000,3711
5,10,500000,15,1.376000,3711
5,10,1000000,15,1.005000,3711
5,1,10000,20,0.986000,3711
5,1,50000,20,1.006000,3711
5,1,100000,20,1.089000,3711
5,1,500000,20,1.182000,3711
5,1,1000000,20,1.286000,3711
5,2,10000,20,1.111000,3711
5,2,50000,20,1.101000,3711
5,2,100000,20,1.050000,3711
5,2,500000,20,1.098000,3711
5,2,1000000,20,1.048000,3711
5,3,10000,20,1.267000,3711
5,3,50000,20,1.099000,3711
5,3,100000,20,1.022000,3711
5,3,500000,20,1.408000,3711
5,3,1000000,20,1.015000,3711
5,4,10000,20,1.081000,3711
5,4,50000,20,1.056000,3711
5,4,100000,20,1.016000,3711
5,4,500000,20,1.057000,3711
5,4,1000000,20,1.102000,3711
5,5,10000,20,1.054000,3711
5,5,50000,20,0.995000,3711
5,5,100000,20,1.010000,3711
5,5,500000,20,1.025000,3711
5,5,1000000,20,1.019000,3711
5,6,10000,20,0.969000,3711
5,6,50000,20,0.994000,3711
5,6,100000,20,1.011000,3711
5,6,500000,20,1.235000,3711
5,6,1000000,20,1.071000,3711
5,7,10000,20,0.987000,3711
5,7,50000,20,1.086000,3711
5,7,100000,20,1.010000,3711
5,7,500000,20,0.983000,3711
5,7,1000000,20,0.950000,3711
5,8,10000,20,1.035000,3711
5,8,50000,20,1.018000,3711
5,8,100000,20,1.018000,3711
5,8,500000,20,1.021000,3711
5,8,1000000,20,1.050000,3711
5,9,10000,20,1.059000,3711
5,9,50000,20,1.025000,3711
5,9,100000,20,1.153000,3711
5,9,500000,20,1.132000,3711
5,9,1000000,20,1.157000,3711
5,10,10000,20,1.161000,3711
5,10,50000,20,1.056000,3711
5,10,100000,20,1.223000,3711
5,10,500000,20,1.107000,3711
5,10,1000000,20,1.060000,3711
10,1,10000,10,1.038000,3711
10,1,50000,10,1.201000,3711
10,1,100000,10,20.102000,3926
10,1,500000,10,396.762000,8170
10,1,1000000,10,436.216000,8698
10,2,10000,10,1.262000,3711
10,2,50000,10,6.762000,3777
10,2,100000,10,72.571000,4522
10,2,500000,10,224.626000,6197
10,2,1000000,10,227.195000,6218
10,3,10000,10,1.562000,3711
10,3,50000,10,33.783000,4037
10,3,100000,10,99.100000,4823
10,3,500000,10,156.852000,5452
10,3,1000000,10,158.200000,5466
10,4,10000,10,1.143000,3711
10,4,50000,10,38.898000,4085
10,4,100000,10,92.331000,4635
10,4,500000,10,112.690000,4911
10,4,1000000,10,114.847000,4911
10,5,10000,10,1.003000,3711
10,5,50000,10,49.043000,4189
10,5,100000,10,89.740000,4633
10,5,500000,10,99.417000,4721
10,5,1000000,10,108.979000,4721
10,6,10000,10,1.139000,3711
10,6,50000,10,57.848000,4389
10,6,100000,10,79.037000,4620
10,6,500000,10,99.782000,4671
10,6,1000000,10,85.237000,4671
