k,insPar,filter,mem_size,time,steps
1,1,1000000,5,2.485000,3711
1,2,1000000,5,2.426000,3711
1,3,1000000,5,2.458000,3711
1,4,1000000,5,2.567000,3711
1,5,1000000,5,2.697000,3711
1,6,1000000,5,2.515000,3711
1,7,1000000,5,2.792000,3711
1,8,1000000,5,2.522000,3711
1,9,1000000,5,2.483000,3711
1,10,1000000,5,2.476000,3711
1,1,1000000,10,2.439000,3711
1,2,1000000,10,2.414000,3711
1,3,1000000,10,2.416000,3711
1,4,1000000,10,2.405000,3711
1,5,1000000,10,2.462000,3711
1,6,1000000,10,2.409000,3711
1,7,1000000,10,2.684000,3711
1,8,1000000,10,2.626000,3711
1,9,1000000,10,2.443000,3711
1,10,1000000,10,2.487000,3711
1,1,1000000,15,2.636000,3711
1,2,1000000,15,2.410000,3711
1,3,1000000,15,2.431000,3711
1,4,1000000,15,2.894000,3711
1,5,1000000,15,2.413000,3711
1,6,1000000,15,2.706000,3711
1,7,1000000,15,2.419000,3711
1,8,1000000,15,2.462000,3711
1,9,1000000,15,2.442000,3711
1,10,1000000,15,2.420000,3711
1,1,1000000,20,2.420000,3711
1,2,1000000,20,2.408000,3711
1,3,1000000,20,2.406000,3711
1,4,1000000,20,2.395000,3711
1,5,1000000,20,2.402000,3711
1,6,1000000,20,2.389000,3711
1,7,1000000,20,2.396000,3711
1,8,1000000,20,2.393000,3711
1,9,1000000,20,2.393000,3711
1,10,1000000,20,2.390000,3711
3,1,1000000,5,1.701000,3711
3,2,1000000,5,1.699000,3711
3,3,1000000,5,2.523000,3711
3,4,1000000,5,1.945000,3711
3,5,1000000,5,1.807000,3711
3,6,1000000,5,2.597000,3711
3,7,1000000,5,2.513000,3711
3,8,1000000,5,2.601000,3711
3,9,1000000,5,2.458000,3711
3,10,1000000,5,1.688000,3711
3,1,1000000,10,2.061000,3711
3,2,1000000,10,1.701000,3711
3,3,1000000,10,2.449000,3711
3,4,1000000,10,1.667000,3711
3,5,1000000,10,2.005000,3711
3,6,1000000,10,2.743000,3711
3,7,1000000,10,2.644000,3711
3,8,1000000,10,2.555000,3711
3,9,1000000,10,2.419000,3711
3,10,1000000,10,1.692000,3711
3,1,1000000,15,1.719000,3711
3,2,1000000,15,1.693000,3711
3,3,1000000,15,2.618000,3711
3,4,1000000,15,1.693000,3711
3,5,1000000,15,1.881000,3711
3,6,1000000,15,2.414000,3711
3,7,1000000,15,2.405000,3711
3,8,1000000,15,2.522000,3711
3,9,1000000,15,2.541000,3711
3,10,1000000,15,1.827000,3711
3,1,1000000,20,1.722000,3711
3,2,1000000,20,1.800000,3711
3,3,1000000,20,2.665000,3711
3,4,1000000,20,1.668000,3711
3,5,1000000,20,1.663000,3711
3,6,1000000,20,2.404000,3711
3,7,1000000,20,2.387000,3711
3,8,1000000,20,2.400000,3711
3,9,1000000,20,2.423000,3711
3,10,1000000,20,1.660000,3711
5,1,1000000,5,3.864000,3711
5,2,1000000,5,2.426000,3711
5,3,1000000,5,3.743000,3711
5,4,1000000,5,2.515000,3711
5,5,1000000,5,2.442000,3711
5,6,1000000,5,2.529000,3711
5,7,1000000,5,2.529000,3711
5,8,1000000,5,2.538000,3711
5,9,1000000,5,3.866000,3711
5,10,1000000,5,2.561000,3711
5,1,1000000,10,1.871000,3711
5,2,1000000,10,2.668000,3711
5,3,1000000,10,2.109000,3711
5,4,1000000,10,2.437000,3711
5,5,1000000,10,2.490000,3711
