MEM (start=13, end=23, len=10)
MEM (start=14, end=29, len=15)
MEM (start=27, end=37, len=10)
MEM (start=30, end=40, len=10)
MEM (start=53, end=63, len=10)
MEM (start=57, end=67, len=10)
MEM (start=72, end=89, len=17)
MEM (start=84, end=95, len=11)
MEM (start=94, end=105, len=11)
MEM (start=103, end=113, len=10)
MEM (start=117, end=130, len=13)
MEM (start=131, end=146, len=15)
MEM (start=142, end=152, len=10)
MEM (start=155, end=165, len=10)
MEM (start=158, end=168, len=10)
MEM (start=164, end=181, len=17)
MEM (start=180, end=190, len=10)
MEM (start=207, end=230, len=23)
MEM (start=218, end=240, len=22)
MEM (start=232, end=243, len=11)
MEM (start=243, end=253, len=10)
MEM (start=286, end=297, len=11)
MEM (start=299, end=320, len=21)
MEM (start=323, end=333, len=10)
MEM (start=328, end=338, len=10)
MEM (start=341, end=351, len=10)
MEM (start=354, end=364, len=10)
MEM (start=360, end=370, len=10)
MEM (start=361, end=375, len=14)
MEM (start=373, end=383, len=10)
MEM (start=378, end=388, len=10)
MEM (start=391, end=401, len=10)
MEM (start=406, end=417, len=11)
MEM (start=412, end=422, len=10)
MEM (start=425, end=439, len=14)
MEM (start=445, end=458, len=13)
MEM (start=457, end=467, len=10)
MEM (start=470, end=489, len=19)
MEM (start=490, end=509, len=19)
MEM (start=501, end=511, len=10)
MEM (start=505, end=516, len=11)
MEM (start=514, end=526, len=12)
MEM (start=518, end=528, len=10)
MEM (start=519, end=530, len=11)
MEM (start=522, end=533, len=11)
MEM (start=525, end=535, len=10)
MEM (start=552, end=562, len=10)
MEM (start=558, end=575, len=17)
MEM (start=573, end=584, len=11)
MEM (start=584, end=602, len=18)
MEM (start=594, end=604, len=10)
MEM (start=636, end=646, len=10)
MEM (start=646, end=656, len=10)
MEM (start=652, end=663, len=11)
MEM (start=653, end=664, len=11)
MEM (start=682, end=695, len=13)
MEM (start=694, end=706, len=12)
MEM (start=700, end=710, len=10)
MEM (start=708, end=718, len=10)
MEM (start=721, end=732, len=11)
MEM (start=723, end=733, len=10)
MEM (start=760, end=770, len=10)
MEM (start=784, end=795, len=11)
MEM (start=788, end=799, len=11)
MEM (start=796, end=806, len=10)
MEM (start=802, end=812, len=10)
MEM (start=808, end=818, len=10)
MEM (start=809, end=822, len=13)
MEM (start=811, end=823, len=12)
MEM (start=824, end=851, len=27)
MEM (start=875, end=886, len=11)
MEM (start=878, end=888, len=10)
MEM (start=879, end=889, len=10)
MEM (start=908, end=918, len=10)
MEM (start=939, end=958, len=19)
MEM (start=958, end=968, len=10)
MEM (start=961, end=972, len=11)
MEM (start=963, end=973, len=10)
MEM (start=977, end=987, len=10)
MEM (start=978, end=1000, len=22)
