mkdir -p ./bin 
gcc mem_finder_mvt.c fm_index.c -o bin/mem_finder_mvt
gcc simple_BWT.c -o bin/simple_BWT
./data/DNA_BWT_FOR.txt already exists, skipping forward BWT generation.
./data/DNA_BWT_REV.txt already exists, skipping reverse BWT generation.
./bin/mem_finder_mvt ./data/DNA_BWT_FOR.txt ./data/DNA_BWT_REV.txt
MEM (start=1, end=12, len=11)
MEM (start=9, end=19, len=10)
MEM (start=14, end=24, len=10)
MEM (start=55, end=65, len=10)
MEM (start=56, end=67, len=11)
MEM (start=59, end=70, len=11)
MEM (start=62, end=72, len=10)
MEM (start=69, end=80, len=11)
MEM (start=71, end=84, len=13)
MEM (start=86, end=96, len=10)
MEM (start=89, end=100, len=11)
MEM (start=98, end=110, len=12)
MEM (start=110, end=120, len=10)
MEM (start=114, end=124, len=10)
MEM (start=119, end=129, len=10)
MEM (start=148, end=158, len=10)
MEM (start=150, end=160, len=10)
MEM (start=156, end=166, len=10)
MEM (start=164, end=174, len=10)
MEM (start=189, end=205, len=16)
MEM (start=196, end=206, len=10)
MEM (start=206, end=223, len=17)
MEM (start=232, end=243, len=11)
MEM (start=235, end=247, len=12)
MEM (start=247, end=257, len=10)
MEM (start=253, end=263, len=10)
MEM (start=263, end=278, len=15)
MEM (start=273, end=283, len=10)
MEM (start=331, end=341, len=10)
MEM (start=342, end=372, len=30)
MEM (start=377, end=387, len=10)
MEM (start=384, end=395, len=11)
MEM (start=392, end=411, len=19)
MEM (start=402, end=412, len=10)
MEM (start=436, end=446, len=10)
MEM (start=441, end=455, len=14)
MEM (start=463, end=473, len=10)
MEM (start=467, end=478, len=11)
MEM (start=471, end=483, len=12)
MEM (start=519, end=533, len=14)
MEM (start=534, end=545, len=11)
MEM (start=537, end=548, len=11)
MEM (start=541, end=551, len=10)
MEM (start=545, end=555, len=10)
MEM (start=551, end=562, len=11)
MEM (start=554, end=564, len=10)
MEM (start=564, end=574, len=10)
MEM (start=575, end=586, len=11)
MEM (start=579, end=589, len=10)
MEM (start=611, end=622, len=11)
MEM (start=627, end=642, len=15)
MEM (start=634, end=644, len=10)
MEM (start=637, end=653, len=16)
MEM (start=660, end=670, len=10)
MEM (start=678, end=695, len=17)
MEM (start=695, end=705, len=10)
MEM (start=730, end=741, len=11)
MEM (start=732, end=742, len=10)
MEM (start=738, end=748, len=10)
MEM (start=752, end=764, len=12)
MEM (start=770, end=786, len=16)
MEM (start=774, end=789, len=15)
MEM (start=794, end=804, len=10)
MEM (start=814, end=824, len=10)
MEM (start=817, end=829, len=12)
MEM (start=824, end=835, len=11)
MEM (start=832, end=842, len=10)
MEM (start=835, end=847, len=12)
MEM (start=847, end=857, len=10)
MEM (start=848, end=861, len=13)
